紅色      #FF0000 255, 0, 0   0, 100, 100, 0  0, 100, 100 red
猩紅色     #FF2400 255, 36, 0  0, 86, 100, 0   8, 100, 100 scarlet
朱紅色     #FF4D00 255, 77, 0  0, 70, 100, 0   18, 100, 100    vermilion
橙色      #FFA500 255, 165, 0 0, 40, 100, 0   39, 100, 100    orange
琥珀色     #FFBF00 255, 191, 0 0, 35, 100, 0   51, 100, 100    amber
金色      #FFD700 255, 215, 0 0, 25, 100, 0   45, 100, 100    gold
黃色      #FFFF00 255, 255, 0 0, 0, 100, 0    60, 100, 100    yellow
檸檬綠色        #CCFF00 204, 255, 0 20, 0, 100, 0   72, 100, 100    lime
黃綠色     #66FF00 102, 255, 0 60, 0, 100, 0   96, 100, 100    bright green
綠色      #00FF00 0, 255, 0   100, 0, 100, 0  120, 100, 100   green
青色      #00FFFF 0, 255, 255 100, 0, 0, 0    180, 100, 100   cyan
蔚藍色     #007FFF 0, 127, 255 100, 50, 0, 0   210, 100, 100   azure
藍色      #0000FF 0, 0, 255   100, 100, 0, 0  240, 100, 100   blue
藍綠色     #7FFFD4 127, 255, 212   50, 0, 17, 0    160, 50, 100    Aquamarine
淺藍色     #E0FFFF 224, 255, 255   12, 0, 0, 0 180, 12, 100    Baby blue
愛麗絲藍        #F0F8FF 240, 248, 245   4, 1, 0, 0  208, 6, 100 Alice-Blue
綠松色     #30D5C8 48, 213, 200    100, 50, 0, 0   210, 100, 100   Turquoise
矢車菊藍        #6495ED 100, 149, 237   59, 37, 0, 0    219, 58, 93 Cornflower blue
粉末藍     #003399 0, 51, 153  100, 67, 0, 40  220, 100, 60    Powder blue
皇室藍     #4169E1 65, 105, 225    181, 136, 0, 30 225, 71, 88 Royal blue
普魯士藍        #003153 0, 49, 83   63, 35, 14, 72  205, 100, 43    Prussian blue
午夜藍     #003366 0, 51, 102  243, 205, 108, 80   210, 100, 40    Midnight Blue
天青藍     #2A52BE 42, 82, 190 78, 57, 0, 25   224, 78, 75 Cerulean blue
鈷藍色     #0047AB 0, 71, 171  255, 149, 0, 84 215, 100, 67    Cobalt blue
道奇藍     #1E90FF 30, 144, 255    88, 44, 0, 0    210, 88, 100    Dodger blue
國際奇連藍       #002FA7 0, 47, 167  98, 84, 0, 0    223, 100, 65    International Klein Blue
海軍藍     #000080 0, 0, 128   255, 255, 0, 127    240, 100, 50    Navy blue
白牛仔布色       #5E86C1 94, 134, 193    131, 78, 0, 62  216, 51, 76 Pale Denim
長春花色        #CCCCFF 204, 204, 255   51, 51, 0, 0    240, 20, 100    Periwinkle
青玉色     #082567 8, 37, 103  235, 163, 0, 152    222, 92, 40 Sapphire
紫羅蘭色        #8B00FF 139, 0, 255 45, 100, 0, 0   273, 100, 100   Violet
深茜紅     #E32636 227, 38, 54 1, 92, 82, 0    355, 83, 89 Alizarin Crimson
洋紅色     #FF00FF 255, 0, 255 0, 100, 20, 0   300, 100, 100   magenta
栗色      #800000 128, 0, 0   0, 100, 100, 50 0, 100, 50  maroon
橙黃色     #FFCC00 255, 204, 0 0, 51, 100, 0   48, 100, 100    tangerine
橄欖色     #808000 128, 128, 0 0, 0, 100, 50   60, 100, 50 olive
春綠色     #00FF80 0, 255, 128 100, 0, 50, 0   150, 100, 100   spring green
鴨綠色     #008080 0, 128, 128 100, 0, 0, 50   180, 100, 50    teal
海軍藍     #000080 0, 0, 128   100, 100, 0, 50 240, 100, 50    navy
靛色      #4B0080 75, 0, 128  42, 100, 0, 50  275, 100, 50    indigo
鮭肉色     #FF8C69 255, 140, 105   0, 45, 59, 0    14, 59, 100 salmon
桃色      #FFE5B4 255, 229, 180   0, 10, 29, 0    40, 29, 100 peach
奶油色     #FFFDD0 255, 253, 208   1, 0, 22, 0 57, 18, 100 cream
米色      #F5F5DC 245, 245, 210   3, 1, 15, 0 60, 10, 96  beige
薰衣草色        #E6E6FA 230, 230, 250   8, 8, 0, 0  240, 8, 98  lavender
蘭花色     #DA70D6 218, 112, 214   24, 66, 0, 0    302, 49, 85 orchid
粉紅色     #FFC0CB 255, 192, 203   0, 63, 52, 0    350, 25, 100    pink
珊瑚紅     #FF7F50 255, 127, 80    0, 128, 175, 0  16, 69, 100 coral
燃橙色     #CC5500 204, 85, 0  15, 78, 100, 4  25, 100, 80 burnt orange
古銅色     #B87333 184, 115, 51    23, 59, 93, 8   29, 72, 72  bronze
赭色      #CC7722 204, 119, 34    0, 85, 170, 50  30, 83, 80  ocher
深褐色     #704214 112, 66, 20 39, 69, 100, 41 30, 82, 44  sepia
寶石綠     #50C878 80, 200, 120    60, 0, 40, 22   140, 60, 78 emerald
櫻桃色     #DE3163 222, 49, 99 7, 95, 45, 0    343, 78, 87 cerise
白色      #FFFFFF 255, 255, 255   0, 0, 0, 0  0, 0, 100   white
銀色      #C0C0C0 192, 192, 192   0, 0, 0, 25 0, 0, 75    silver
灰色      #808080 128, 128, 128   0, 0, 0, 50 0, 0, 50    gray
暗灰色     #404040 64, 64, 64  0, 0, 0, 75 0, 0, 25    dimgray
黑色      #000000 0, 0, 0 0, 0, 0, 100    0, 0, 0 black
